order_id;cluster;filial;origem_registo;dist_km;peso_kg;valor_mercadoria;n_itens;lead_dias;valor_frete;atraso_honesto;qa_flags_total;pc1;pc2
e481f51cbdc54678b7cc49136f2d6af7;4;SP;11-100;18.538347990032882;0.5;29.99;1.0;8.437;8.72;False;0;-2.0115;-0.6907
53cdb2fc8bc7dce0b6741e2150273451;0;SP;101-1000;849.521643326921;0.4;118.7;1.0;13.782;22.76;False;1;0.1804;0.6592
47770eb9100c2d0c44946d9cf07ec65d;0;SP;>1000;514.4083067225652;0.42;159.9;1.0;9.394;19.22;False;0;0.04;0.0656
949d5b44dbf5de918fe9c16f97b45f8a;0;MG;101-1000;1822.1348477099448;0.45;45.0;1.0;13.209;27.2;False;0;-0.2078;1.3153
ad21c59c0840e6cb83a9ceb5573f8159;4;SP;101-1000;29.765049381074228;0.25;19.9;1.0;2.874;8.72;False;0;-2.5078;-0.5729
a4591c265e18cb1dcee52889e2d8acc3;2;SP;101-1000;411.43230817591797;7.15;147.9;1.0;16.542;27.36;False;0;1.5308;-0.4879
6514b8ad8028c9f2cc2374ded245783f;0;SP;101-1000;322.2959054066731;0.05;59.99;1.0;9.99;15.17;False;0;-0.9258;0.4655
76c6e866289321a7c93b82b54852dc33;0;SP;1-10 pedidos;870.1488818775164;0.3;19.9;1.0;9.819;16.05;False;0;-1.1694;1.1934
e69bfb5eb88e0ed6a785585b27e16dbf;2;SP;101-1000;112.20500232736055;9.75;149.99;1.0;18.222;19.77;False;0;1.4295;-1.0728
e6ce16cb79ec1d90b1da9085a6118aeb;3;ES;101-1000;415.0607745588749;9.0;198.0;2.0;12.651;61.06;False;1;2.073;-1.642
34513ce0c4fab462a55830c0989c7edb;0;RS;101-1000;845.434186153382;0.325;98.0;1.0;5.755;16.13;False;0;-0.3351;0.2924
82566a660a982b15fb86e904c8d32918;0;SP;11-100;451.74861040876016;0.45;31.9;1.0;12.083;18.23;False;0;-0.893;0.8127
5ff96c15d0b717ac6ad1f3d77225a350;0;SP;101-1000;309.15101786381183;0.2;19.9;1.0;4.922;12.8;False;0;-1.7533;0.5216
432aaf21d85167c2c86ec9448c4e42cc;0;SP;101-1000;430.12704032161275;0.583;38.25;1.0;11.39;16.11;False;1;-0.7587;0.6332
dcb36b511fcac050b97cd5c05de84dc3;0;DF;1-10 pedidos;161.29797871525597;0.15;132.4;1.0;13.855;14.05;False;1;-0.3906;0.0387
