uf;grafia_original;chave_normalizada;cidade_canonica;linhas;regra_aplicada;mudanca
AC;acrelandia;acrelandia;Acrelândia;6;nenhuma;formatacao
AC;acrelândia;acrelandia;Acrelândia;2;acento;formatacao
AC;assis brasil;assis brasil;Assis Brasil;13;nenhuma;formatacao
AC;brasileia;brasileia;Brasiléia;9;nenhuma;formatacao
AC;brasiléia;brasileia;Brasiléia;5;acento;formatacao
AC;bujari;bujari;Bujari;8;nenhuma;formatacao
AC;campinas;campinas;Campinas;1;nenhuma;formatacao
AC;capixaba;capixaba;Capixaba;1;nenhuma;formatacao
AC;cruzeiro do sul;cruzeiro do sul;Cruzeiro do Sul;110;nenhuma;formatacao
AC;epitaciolandia;epitaciolandia;Epitaciolândia;7;nenhuma;formatacao
AC;epitaciolândia;epitaciolandia;Epitaciolândia;6;acento;formatacao
AC;feijo;feijo;Feijó;28;nenhuma;formatacao
AC;feijó;feijo;Feijó;8;acento;formatacao
AC;jordão;jordao;Jordão;2;acento;formatacao
AC;jordao;jordao;Jordão;2;nenhuma;formatacao
AC;manoel urbano;manoel urbano;Manoel Urbano;8;nenhuma;formatacao
AC;marechal thaumaturgo;marechal thaumaturgo;Marechal Thaumaturgo;3;nenhuma;formatacao
AC;mancio lima;mancio lima;Mâncio Lima;5;nenhuma;formatacao
AC;mâncio lima;mancio lima;Mâncio Lima;2;acento;formatacao
AC;placido de castro;placido de castro;Plácido de Castro;11;nenhuma;formatacao
AC;plácido de castro;placido de castro;Plácido de Castro;5;acento;formatacao
AC;porto acre;porto acre;Porto Acre;5;nenhuma;formatacao
AC;porto walter;porto walter;Porto Walter;4;nenhuma;formatacao
AC;rio bracnco;rio bracnco;Rio Bracnco;1;nenhuma;formatacao
AC;rio branco;rio branco;Rio Branco;1021;nenhuma;formatacao
AC;rio de janeiro;rio de janeiro;Rio de Janeiro;2;nenhuma;formatacao
AC;rodrigues alves;rodrigues alves;Rodrigues Alves;4;nenhuma;formatacao
AC;santa rosa do purus;santa rosa do purus;Santa Rosa do Purus;7;nenhuma;formatacao
AC;sao paulo;sao paulo;Sao Paulo;1;nenhuma;formatacao
AC;sena madureira;sena madureira;Sena Madureira;26;nenhuma;formatacao
AC;senador guiomard;senador guiomard;Senador Guiomard;17;nenhuma;formatacao
AC;tarauaca;tarauaca;Tarauacá;20;nenhuma;formatacao
AC;tarauacá;tarauaca;Tarauacá;16;acento;formatacao
AC;xapuri;xapuri;Xapuri;17;nenhuma;formatacao
AL;agua branca;agua branca;Agua Branca;10;nenhuma;formatacao
AL;anadia;anadia;Anadia;6;nenhuma;formatacao
AL;arapiraca;arapiraca;Arapiraca;315;nenhuma;formatacao
AL;atalaia;atalaia;Atalaia;7;nenhuma;formatacao
AL;barra de santo antonio;barra de santo antonio;Barra de Santo Antônio;12;nenhuma;formatacao
AL;barra de santo antônio;barra de santo antonio;Barra de Santo Antônio;1;acento;formatacao
AL;barra de  santo antônio;barra de santo antonio;Barra de Santo Antônio;1;espacos|acento;formatacao
AL;barra de sao miguel;barra de sao miguel;Barra de São Miguel;13;nenhuma;formatacao
AL;barra de são miguel;barra de sao miguel;Barra de São Miguel;2;acento;formatacao
AL;batalha;batalha;Batalha;18;nenhuma;formatacao
AL;belem;belem;Belem;6;nenhuma;formatacao
AL;boca da mata;boca da mata;Boca da Mata;21;nenhuma;formatacao
AL;branquinha;branquinha;Branquinha;6;nenhuma;formatacao
AL;cacimbinhas;cacimbinhas;Cacimbinhas;11;nenhuma;formatacao
AL;cajueiro;cajueiro;Cajueiro;17;nenhuma;formatacao
AL;campestre;campestre;Campestre;12;nenhuma;formatacao
AL;campo alegre;campo alegre;Campo Alegre;26;nenhuma;formatacao
AL;campo grande;campo grande;Campo Grande;3;nenhuma;formatacao
AL;canapi;canapi;Canapi;5;nenhuma;formatacao
AL;capela;capela;Capela;14;nenhuma;formatacao
AL;carneiros;carneiros;Carneiros;4;nenhuma;formatacao
AL;cha preta;cha preta;Chã Preta;10;nenhuma;formatacao
AL;chã preta;cha preta;Chã Preta;3;acento;formatacao
AL;coite do noia;coite do noia;Coite do Noia;6;nenhuma;formatacao
AL;colonia leopoldina;colonia leopoldina;Colônia Leopoldina;12;nenhuma;formatacao
AL;colônia leopoldina;colonia leopoldina;Colônia Leopoldina;4;acento;formatacao
AL;coqueiro seco;coqueiro seco;Coqueiro Seco;1;nenhuma;formatacao
AL;coruripe;coruripe;Coruripe;49;nenhuma;formatacao
AL;craibas;craibas;Craibas;9;nenhuma;formatacao
AL;delmiro gouveia;delmiro gouveia;Delmiro Gouveia;62;nenhuma;formatacao
AL;dois riachos;dois riachos;Dois Riachos;7;nenhuma;formatacao
AL;estrela de alagoas;estrela de alagoas;Estrela de Alagoas;3;nenhuma;formatacao
AL;feira grande;feira grande;Feira Grande;7;nenhuma;formatacao
AL;feliz deserto;feliz deserto;Feliz Deserto;9;nenhuma;formatacao
AL;flexeiras;flexeiras;Flexeiras;3;nenhuma;formatacao
AL;girau do ponciano;girau do ponciano;Girau do Ponciano;10;nenhuma;formatacao
AL;ibateguara;ibateguara;Ibateguara;12;nenhuma;formatacao
AL;igaci;igaci;Igaci;11;nenhuma;formatacao
AL;igreja nova;igreja nova;Igreja Nova;17;nenhuma;formatacao
AL;inhapi;inhapi;Inhapi;14;nenhuma;formatacao
AL;jacare dos homens;jacare dos homens;Jacare dos Homens;3;nenhuma;formatacao
AL;jacuipe;jacuipe;Jacuípe;4;nenhuma;formatacao
AL;jacuípe;jacuipe;Jacuípe;1;acento;formatacao
AL;japaratinga;japaratinga;Japaratinga;9;nenhuma;formatacao
AL;jaramataia;jaramataia;Jaramataia;3;nenhuma;formatacao
AL;jequia da praia;jequia da praia;Jequia da Praia;7;nenhuma;formatacao
AL;joaquim gomes;joaquim gomes;Joaquim Gomes;11;nenhuma;formatacao
AL;jundia;jundia;Jundia;2;nenhuma;formatacao
AL;junqueiro;junqueiro;Junqueiro;4;nenhuma;formatacao
AL;lagoa da canoa;lagoa da canoa;Lagoa da Canoa;6;nenhuma;formatacao
AL;limoeiro de anadia;limoeiro de anadia;Limoeiro de Anadia;3;nenhuma;formatacao
AL;luziapolis;luziapolis;Luziapolis;2;nenhuma;formatacao
AL;maceia³;maceia3;Maceia³;1;acento;formatacao
AL;maceio;maceio;Maceió;2300;nenhuma;formatacao
AL;maceió;maceio;Maceió;315;acento;formatacao
AL;major isidoro;major isidoro;Major Isidoro;5;nenhuma;formatacao
AL;mar vermelho;mar vermelho;Mar Vermelho;3;nenhuma;formatacao
AL;maragogi;maragogi;Maragogi;42;nenhuma;formatacao
AL;maravilha;maravilha;Maravilha;11;nenhuma;formatacao
AL;marechal deodoro;marechal deodoro;Marechal Deodoro;36;nenhuma;formatacao
AL;maribondo;maribondo;Maribondo;13;nenhuma;formatacao
AL;mata grande;mata grande;Mata Grande;30;nenhuma;formatacao
AL;matriz de camaragibe;matriz de camaragibe;Matriz de Camaragibe;23;nenhuma;formatacao
AL;messias;messias;Messias;4;nenhuma;formatacao
AL;monteiropolis;monteiropolis;Monteiropolis;4;nenhuma;formatacao
AL;murici;murici;Murici;15;nenhuma;formatacao
AL;novo lino;novo lino;Novo Lino;15;nenhuma;formatacao
AL;olho d'agua grande;olho d agua grande;Olho D'agua Grande;2;nenhuma;formatacao
AL;olho d'agua das flores;olho d agua das flores;Olho D'água das Flores;18;nenhuma;formatacao
AL;olho d'água das flores;olho d agua das flores;Olho D'água das Flores;7;acento;formatacao
AL;olho d agua das flores;olho d agua das flores;Olho D'água das Flores;4;nenhuma;formatacao
AL;olho d'água do casado;olho d agua do casado;Olho D'água do Casado;2;acento;formatacao
AL;olho dágua grande;olho dagua grande;Olho Dágua Grande;1;acento;formatacao
AL;olivenca;olivenca;Olivenca;5;nenhuma;formatacao
AL;ouro branco;ouro branco;Ouro Branco;12;nenhuma;formatacao
AL;palestina;palestina;Palestina;4;nenhuma;formatacao
AL;palmeira dos indios;palmeira dos indios;Palmeira dos Índios;88;nenhuma;formatacao
AL;palmeira dos índios;palmeira dos indios;Palmeira dos Índios;21;acento;formatacao
AL;pariconha;pariconha;Pariconha;8;nenhuma;formatacao
AL;paripueira;paripueira;Paripueira;10;nenhuma;formatacao
AL;passo de camaragibe;passo de camaragibe;Passo de Camaragibe;13;nenhuma;formatacao
AL;pau d'arco;pau d arco;Pau D'arco;2;nenhuma;formatacao
AL;paulo jacinto;paulo jacinto;Paulo Jacinto;9;nenhuma;formatacao
AL;penedo;penedo;Penedo;100;nenhuma;formatacao
AL;piacabucu;piacabucu;Piaçabuçu;15;nenhuma;formatacao
AL;piaçabuçu;piacabucu;Piaçabuçu;3;acento;formatacao
AL;pilar;pilar;Pilar;37;nenhuma;formatacao
AL;pindoba;pindoba;Pindoba;6;nenhuma;formatacao
AL;piranhas;piranhas;Piranhas;35;nenhuma;formatacao
AL;porto calvo;porto calvo;Porto Calvo;32;nenhuma;formatacao
AL;porto real do colegio;porto real do colegio;Porto Real do Colegio;8;nenhuma;formatacao
AL;porto de pedras;porto de pedras;Porto de Pedras;10;nenhuma;formatacao
AL;poxim;poxim;Poxim;1;nenhuma;formatacao
AL;poco das trincheiras;poco das trincheiras;Poço das Trincheiras;4;nenhuma;formatacao
AL;poço das trincheiras;poco das trincheiras;Poço das Trincheiras;1;acento;formatacao
AL;pao de acucar;pao de acucar;Pão de Açúcar;18;nenhuma;formatacao
AL;pão de açúcar;pao de acucar;Pão de Açúcar;4;acento;formatacao
AL;quebrangulo;quebrangulo;Quebrangulo;1;nenhuma;formatacao
AL;rio largo;rio largo;Rio Largo;70;nenhuma;formatacao
AL;roteiro;roteiro;Roteiro;4;nenhuma;formatacao
AL;santa luzia do norte;santa luzia do norte;Santa Luzia do Norte;8;nenhuma;formatacao
AL;santana do ipanema;santana do ipanema;Santana do Ipanema;42;nenhuma;formatacao
AL;santana do mundau;santana do mundau;Santana do Mundaú;12;nenhuma;formatacao
AL;santana do mundaú;santana do mundau;Santana do Mundaú;2;acento;formatacao
AL;satuba;satuba;Satuba;11;nenhuma;formatacao
AL;senador rui palmeira;senador rui palmeira;Senador Rui Palmeira;6;nenhuma;formatacao
AL;sao bras;sao bras;São Brás;2;nenhuma;formatacao
AL;são brás;sao bras;São Brás;1;acento;formatacao
AL;sao jose da laje;sao jose da laje;São José da Laje;22;nenhuma;formatacao
AL;são josé da laje;sao jose da laje;São José da Laje;8;acento;formatacao
AL;sao jose da tapera;sao jose da tapera;São José da Tapera;20;nenhuma;formatacao
