uf;cidade_rara;linhas_rara;cidade_provavel;linhas_provavel;distancia_edicao;acao
SP;Sao Paulop;1;São Paulo;176965;1;revisar — nao unido automaticamente
SP;Sao Pauo;1;São Paulo;176965;1;revisar — nao unido automaticamente
SP;Sa£o Paulo;1;São Paulo;176965;1;revisar — nao unido automaticamente
SP;Sãopaulo;2;São Paulo;176965;1;revisar — nao unido automaticamente
MG;Belo Horizont;1;Belo Horizonte;30645;1;revisar — nao unido automaticamente
MG;Belo Horizonta;1;Belo Horizonte;30645;1;revisar — nao unido automaticamente
SP;Garulhos;1;Guarulhos;12580;1;revisar — nao unido automaticamente
SP;Ao Bernardo do Campo;1;São Bernardo do Campo;10602;1;revisar — nao unido automaticamente
SP;Sao Bernardo do Capo;1;São Bernardo do Campo;10602;1;revisar — nao unido automaticamente
SP;Sando Andre;1;Santo André;8891;1;revisar — nao unido automaticamente
SP;Campinal;1;Campinas;6963;1;revisar — nao unido automaticamente
SC;Floranopolis;1;Florianópolis;5585;1;revisar — nao unido automaticamente
SP;Ribeirao Pretp;1;Ribeirão Preto;5573;1;revisar — nao unido automaticamente
SP;Riberao Preto;1;Ribeirão Preto;5573;1;revisar — nao unido automaticamente
SP;Robeirao Preto;1;Ribeirão Preto;5573;1;revisar — nao unido automaticamente
SP;Mogi das Cruses;1;Mogi das Cruzes;4312;1;revisar — nao unido automaticamente
SP;Sao Jose do Rio Pret;1;São José do Rio Preto;4231;1;revisar — nao unido automaticamente
RJ;Campos dos Goytacaze;1;Campos dos Goytacazes;3079;1;revisar — nao unido automaticamente
SP;Tabao da Serra;1;Taboão da Serra;2558;1;revisar — nao unido automaticamente
PR;Cascavael;1;Cascavel;1879;1;revisar — nao unido automaticamente
PR;Sao Jose dos Pinhas;1;São José dos Pinhais;1603;1;revisar — nao unido automaticamente
PE;Jaboatão dos Gurarapes;1;Jaboatão dos Guararapes;1404;1;revisar — nao unido automaticamente
AC;Rio Bracnco;1;Rio Branco;1021;1;revisar — nao unido automaticamente
ES;Linharesl;1;Linhares;800;1;revisar — nao unido automaticamente
CE;Juzeiro do Norte;1;Juazeiro do Norte;483;1;revisar — nao unido automaticamente
SP;Scao Jose do Rio Pardo;1;São José do Rio Pardo;475;1;revisar — nao unido automaticamente
SC;Sao Miguel D'oeste;1;São Miguel do Oeste;416;1;revisar — nao unido automaticamente
RS;Sant'ana do Livramento;2;Santana do Livramento;378;1;revisar — nao unido automaticamente
SP;Portoferreira;1;Porto Ferreira;377;1;revisar — nao unido automaticamente
RS;Xangrila;1;Xangri-lá;125;1;revisar — nao unido automaticamente
PR;Paincandu;1;Paiçandu;124;1;revisar — nao unido automaticamente
SC;Herval Doeste;1;Herval D'oeste;110;1;revisar — nao unido automaticamente
SP;Sao Paluo;1;São Paulo;176965;2;revisar — nao unido automaticamente
RS;Porto Aelgre;1;Porto Alegre;14927;2;revisar — nao unido automaticamente
SP;Mogidascruzes;2;Mogi das Cruzes;4312;2;revisar — nao unido automaticamente
SP;S Jose do Rio Preto;1;São José do Rio Preto;4231;2;revisar — nao unido automaticamente
SP;Paruru;2;Bauru;3557;2;revisar — nao unido automaticamente
AL;Maceia³;1;Maceió;2615;2;revisar — nao unido automaticamente
SC;Balenario Camboriu;1;Balneário Camboriú;1194;2;revisar — nao unido automaticamente
SP;Bora;1;Poá;1081;2;revisar — nao unido automaticamente
MG;Itapiru;2;Itabira;916;2;revisar — nao unido automaticamente
AP;Amapa;2;Macapá;696;2;revisar — nao unido automaticamente
SP;Ipira;1;Itapira;646;2;revisar — nao unido automaticamente
MG;Baguari;2;Araguari;604;2;revisar — nao unido automaticamente
SP;Iubatinga;1;Ibitinga;357;2;revisar — nao unido automaticamente
RS;Ipiranga;1;Sapiranga;322;2;revisar — nao unido automaticamente
CE;Caicara;1;Caucaia;288;2;revisar — nao unido automaticamente
RS;Caraá;2;Marau;248;2;revisar — nao unido automaticamente
RS;Marata;2;Marau;248;2;revisar — nao unido automaticamente
SP;Ajapi;1;Cajati;213;2;revisar — nao unido automaticamente
SP;Guariroba;2;Guariba;185;2;revisar — nao unido automaticamente
MG;Santo Antonio do Norte;1;Santo Antônio do Monte;183;2;revisar — nao unido automaticamente
RS;Itati;3;Ivoti;163;2;revisar — nao unido automaticamente
RS;Ivora;3;Ivoti;163;2;revisar — nao unido automaticamente
SP;Itajai;2;Itaí;160;2;revisar — nao unido automaticamente
RS;Itati;3;Itaqui;155;2;revisar — nao unido automaticamente
PR;Guaipora;1;Guaíra;146;2;revisar — nao unido automaticamente
MG;Ipoema;2;Ipanema;140;2;revisar — nao unido automaticamente
SP;Paruru;2;Cajuru;139;2;revisar — nao unido automaticamente
SP;Itajai;2;Itajobi;138;2;revisar — nao unido automaticamente
PR;Guaipora;1;Ivaiporã;134;2;revisar — nao unido automaticamente
RJ;Piao;3;Piraí;131;2;revisar — nao unido automaticamente
RS;Cortado;1;Portão;128;2;revisar — nao unido automaticamente
SP;Ipira;1;Iperó;127;2;revisar — nao unido automaticamente
PR;Panema;2;Capanema;126;2;revisar — nao unido automaticamente
SC;Itapocu;3;Itapoá;124;2;revisar — nao unido automaticamente
SP;Ipira;1;Ipuã;116;2;revisar — nao unido automaticamente
MG;Grota;1;Prata;113;2;revisar — nao unido automaticamente
SP;Iubatinga;1;Itatinga;112;2;revisar — nao unido automaticamente
SP;Caporanga;1;Itaporanga;109;2;revisar — nao unido automaticamente
MG;Itaim;1;Itaobim;105;2;revisar — nao unido automaticamente
MG;Serra Azul;1;Pedra Azul;102;2;revisar — nao unido automaticamente
SP;Bora;1;Buri;101;2;revisar — nao unido automaticamente
