cep_prefixo;lat;lng;n_pontos;cidade_canonica;uf;n_pontos_brutos;lat_bruta;lng_bruta;duplicados_removidos;correcao_centroide_m
1001;-23.55022651431653;-46.63403856911852;11;São Paulo;SP;26;-23.550189776551765;-46.6340235559042;15;4.4
1002;-23.547657125819924;-46.634990509252304;6;São Paulo;SP;13;-23.54814573176355;-46.63497921074498;7;54.4
1003;-23.548999834572523;-46.6355816587524;11;São Paulo;SP;17;-23.54899372481316;-46.635731309975874;6;15.3
1004;-23.54982914119189;-46.634792029508745;14;São Paulo;SP;22;-23.549798842277006;-46.63475694378971;8;4.9
1005;-23.549547473955094;-46.63640612884047;13;São Paulo;SP;25;-23.549456199830747;-46.63673294803691;12;34.9
1006;-23.550126527377728;-46.63604449748152;7;São Paulo;SP;9;-23.55010181145287;-46.636136735174176;2;9.8
1007;-23.54996155949427;-46.63720394806338;16;São Paulo;SP;26;-23.550046202351666;-46.637251459637646;10;10.6
1008;-23.546000168650405;-46.6358765930847;13;São Paulo;SP;16;-23.54600174938346;-46.63588592135778;3;1.0
1009;-23.546891363358633;-46.63649824045029;11;São Paulo;SP;41;-23.546835208320868;-46.636490695312204;30;6.3
1010;-23.546667245013698;-46.63540396425167;6;São Paulo;SP;18;-23.54638943836927;-46.635226081509046;12;35.9
1011;-23.54664946252287;-46.63542523302689;4;São Paulo;SP;21;-23.54690864025111;-46.63558202636042;17;33.0
1012;-23.54780758661154;-46.63484393782474;13;São Paulo;SP;17;-23.547789733146864;-46.63485900505736;4;2.5
1013;-23.547240037691147;-46.63422056848348;10;São Paulo;SP;20;-23.5471420283239;-46.63423580006204;10;11.0
1014;-23.546039952915958;-46.63360037350613;31;São Paulo;SP;54;-23.545912805690417;-46.63361537124495;23;14.2
1015;-23.54775552284429;-46.63173753749301;7;São Paulo;SP;10;-23.54766574938348;-46.631558570722675;3;20.8
1016;-23.549094879405775;-46.632111638548466;7;São Paulo;SP;12;-23.54897640702995;-46.63235192955855;5;27.8
1017;-23.549512688320345;-46.63123527502329;16;São Paulo;SP;41;-23.54953127194786;-46.631023845552235;25;21.7
1018;-23.55135443999642;-46.632762349404075;5;São Paulo;SP;8;-23.550928517909007;-46.63243146837755;3;58.2
1019;-23.55176219310775;-46.63085454231535;17;São Paulo;SP;25;-23.551774137807584;-46.63089338270138;8;4.2
1020;-23.5522091334468;-46.629768255571584;20;São Paulo;SP;66;-23.55233565155142;-46.630049709845736;46;32.0
1021;-23.54283546451365;-46.632099226263165;19;São Paulo;SP;23;-23.543000459064803;-46.63214323386248;4;18.9
1022;-23.5447808268089;-46.632062988389954;12;São Paulo;SP;17;-23.544921826153427;-46.631931335611945;5;20.7
1023;-23.542358619043885;-46.63136439141381;17;São Paulo;SP;20;-23.542330784361457;-46.63137340438761;3;3.2
1024;-23.541311511033662;-46.62987872437637;5;São Paulo;SP;7;-23.54140143278026;-46.62990400057277;2;10.3
1025;-23.54030305184919;-46.63108692434232;12;São Paulo;SP;15;-23.540291945676326;-46.630928059419446;3;16.3
1026;-23.539639404937706;-46.63215384647908;16;São Paulo;SP;39;-23.539657127270946;-46.6318842127058;23;27.6
1027;-23.53808102090296;-46.630536612116316;22;São Paulo;SP;28;-23.538082328385336;-46.6306686750678;6;13.5
1028;-23.535984997728484;-46.63331686707666;11;São Paulo;SP;17;-23.535932541180536;-46.63355514575825;6;25.0
1029;-23.540574380051;-46.63312870430693;6;São Paulo;SP;8;-23.541373048980535;-46.633415988443026;2;93.6
1030;-23.540250348896965;-46.633066558397196;14;São Paulo;SP;22;-23.53954929175343;-46.633023251513535;8;78.2
1031;-23.54164447351783;-46.63506595676559;14;São Paulo;SP;31;-23.54190585344045;-46.63508761691669;17;29.2
1032;-23.539922494656143;-46.635130888327446;24;São Paulo;SP;45;-23.540124454559955;-46.63519354379768;21;23.4
1033;-23.539148664865415;-46.63602255146723;21;São Paulo;SP;47;-23.539271437077804;-46.635878084214845;26;20.1
1034;-23.54251930800989;-46.637266018467486;14;São Paulo;SP;25;-23.542515317419948;-46.63736744880091;11;10.4
1035;-23.541612840173386;-46.64158346016764;15;São Paulo;SP;39;-23.541614488738944;-46.641549142526515;24;3.5
1036;-23.541975917853787;-46.640841778965324;13;São Paulo;SP;38;-23.541648452336283;-46.641443277359336;25;71.4
1037;-23.54533514931352;-46.63899521271491;19;São Paulo;SP;26;-23.545411016454082;-46.63892437204838;7;11.1
1038;-23.543879126646612;-46.63995414482916;7;São Paulo;SP;9;-23.54390737962768;-46.63999380609391;2;5.1
1039;-23.54121489487162;-46.638913511868594;12;São Paulo;SP;19;-23.54137085777194;-46.63916528885119;7;31.0
1040;-23.54114254889919;-46.63848150816681;11;São Paulo;SP;14;-23.541028179008823;-46.63832469496941;3;20.5
