geolocation_zip_code_prefix;geolocation_lat;geolocation_lng;geolocation_city;geolocation_state;cidade_canonica
18243;28.008978338034268;-15.536867177679133;bom retiro da esperanca;SP;Bom Retiro da Esperanca
28165;41.61405150610495;-8.411675312504059;vila nova de campos;RJ;Vila Nova de Campos
28155;-34.586422110664884;-58.732100610901725;santa maria;RJ;Santa Maria
28155;42.43928591592116;13.82021409761152;santa maria;RJ;Santa Maria
28333;38.38167205114709;-6.328200272094753;raposo;RJ;Raposo
28595;43.68496096631822;-7.411080413859842;portela;RJ;Portela
29654;29.40925222930908;-98.48412074808029;santo antônio do canaã;ES;Santo Antônio do Canaã
29654;21.65754744931478;-101.46676644931476;santo antonio do canaa;ES;Santo Antônio do Canaã
35179;25.995202881053302;-98.07854439291536;santana do paraíso;MG;Santana do Paraíso
35179;25.995244980240106;-98.0785330980116;santana do paraiso;MG;Santana do Paraíso
45936;-34.622399716108134;-58.90188778149612;itabata;BA;Itabata
45936;38.3239386880374;-6.775035344018704;itabatan;BA;Itabatan
46560;38.99196259838999;-4.947823288649088;ibiajara;BA;Ibiajara
47310;38.26820516582393;-7.803885844521256;santana do sobrado;BA;Santana do Sobrado
53990;-3.845491431693799;-32.413367452152805;fernando de noronha;PE;Fernando de Noronha
53990;-3.853091999999947;-32.423524999999955;fernando de noronha;PE;Fernando de Noronha
53990;-3.8469299891113327;-32.415820786968744;fernando de noronha;PE;Fernando de Noronha
53990;-3.848319000000004;-32.412384;fernando de noronha;PE;Fernando de Noronha
53990;-3.844079999999992;-32.405985;fernando de noronha;PE;Fernando de Noronha
53990;-3.852505288866558;-32.4027792713525;fernando de noronha;PE;Fernando de Noronha
57319;45.06593318269697;9.341527629906514;pau d'arco;AL;Pau D'arco
58047;-7.161923920491788;-34.79835305430803;joao pessoa;PB;João Pessoa
58045;-7.1580547718564285;-34.795553369553915;joao pessoa;PB;João Pessoa
58045;-7.162300121011013;-34.79721482861101;joao pessoa;PB;João Pessoa
58045;-7.1554752381745015;-34.79368520061035;joao pessoa;PB;João Pessoa
58045;-7.162057362643032;-34.79722819922905;joao pessoa;PB;João Pessoa
58441;41.38532754845633;-8.717341701284429;são josé da mata;PB;São José da Mata
68275;41.14620290949943;-8.57785501800488;porto trombetas;PA;Porto Trombetas
68275;42.16680464053045;-6.898530628106095;porto trombetas;PA;Porto Trombetas
68275;42.16725082536653;-6.898559051071016;porto trombetas;PA;Porto Trombetas
68379;38.71312760878105;-9.135741391218955;castelo dos sonhos;PA;Castelo dos Sonhos
68447;42.42888405758768;-6.873343870596927;vila dos cabanos;PA;Vila dos Cabanos
78131;38.81681628638297;-9.394624510957431;varzea grande;MT;Várzea Grande
83252;42.18400274298598;-8.723762147513938;ilha dos valadares;PR;Ilha dos Valadares
83810;39.05762941700437;-9.400036925109038;areia branca dos assis;PR;Areia Branca dos Assis
95130;14.585072541779615;121.10539381057764;santa lucia do piai;RS;Santa Lucia do Piai
98780;-36.6053744107061;-64.28394645581311;santa rosa;RS;Santa Rosa
98780;-36.60383679197938;-64.28743301028797;santa rosa;RS;Santa Rosa
